,ccf_warming,model,ccf_variant,rcp,base_warming,total_warming,ccf_ppm,ecs,tcr
11,0.03589833753347281,MIROC5,bcc-ccsm1-1,rcp60,2.531502,2.567400337533473,11.177000000000021,2.7,1.5
0,-0.005338554134527948,MIROC-ESM,NorESM1-ME,rcp60,3.8377273,3.832388745865472,-1.1229999999999336,4.7,2.2
1,0.5622466436789926,MIROC-ESM,CESM1-BGC,rcp60,3.8377273,4.399973943678993,129.4770000000001,4.7,2.2
2,0.20097459140860494,MIROC-ESM,GFDL-ESM2M,rcp60,3.8377273,4.038701891408605,43.67700000000002,4.7,2.2
3,0.4227049560447275,MIROC-ESM,MIROC-ESM,rcp60,3.8377273,4.260432256044727,95.17700000000002,4.7,2.2
4,-0.09704652956168976,MIROC-ESM,IPSL-CM5A-LR,rcp60,3.8377273,3.7406807704383103,-20.122999999999934,4.7,2.2
5,0.30191403644366693,MIROC-ESM,CanESM2,rcp60,3.8377273,4.139641336443667,66.67700000000002,4.7,2.2
6,0.18935990246175327,MIROC-ESM,GFDL-ESM2G,rcp60,3.8377273,4.027087202461753,41.077,4.7,2.2
7,0.20676607176385986,MIROC-ESM,HadGEM2-ES,rcp60,3.8377273,4.04449337176386,44.97700000000009,4.7,2.2
8,0.030146469298488854,MIROC-ESM,MPI-ESM-LR,rcp60,3.8377273,3.867873769298489,6.377000000000066,4.7,2.2
9,-0.029696474382007475,MIROC-ESM,inmcm4,rcp60,3.8377273,3.8080308256179927,-6.222999999999956,4.7,2.2
10,-0.44168849239371644,MIROC-ESM,MRI-ESM1,rcp60,3.8377273,3.3960388076062835,-86.82299999999998,4.7,2.2
11,0.05265089504909347,MIROC-ESM,bcc-ccsm1-1,rcp60,3.8377273,3.8903781950490934,11.177000000000021,4.7,2.2
0,-0.005338554134527948,MIROC-ESM-CHEM,NorESM1-ME,rcp60,3.8763026,3.8709640458654717,-1.1229999999999336,4.7,2.2
1,0.5622466436789926,MIROC-ESM-CHEM,CESM1-BGC,rcp60,3.8763026,4.438549243678993,129.4770000000001,4.7,2.2
2,0.20097459140860494,MIROC-ESM-CHEM,GFDL-ESM2M,rcp60,3.8763026,4.077277191408605,43.67700000000002,4.7,2.2
3,0.4227049560447275,MIROC-ESM-CHEM,MIROC-ESM,rcp60,3.8763026,4.299007556044727,95.17700000000002,4.7,2.2
4,-0.09704652956168976,MIROC-ESM-CHEM,IPSL-CM5A-LR,rcp60,3.8763026,3.77925607043831,-20.122999999999934,4.7,2.2
5,0.30191403644366693,MIROC-ESM-CHEM,CanESM2,rcp60,3.8763026,4.178216636443667,66.67700000000002,4.7,2.2
6,0.18935990246175327,MIROC-ESM-CHEM,GFDL-ESM2G,rcp60,3.8763026,4.065662502461753,41.077,4.7,2.2
7,0.20676607176385986,MIROC-ESM-CHEM,HadGEM2-ES,rcp60,3.8763026,4.08306867176386,44.97700000000009,4.7,2.2
8,0.030146469298488854,MIROC-ESM-CHEM,MPI-ESM-LR,rcp60,3.8763026,3.9064490692984886,6.377000000000066,4.7,2.2
9,-0.029696474382007475,MIROC-ESM-CHEM,inmcm4,rcp60,3.8763026,3.8466061256179924,-6.222999999999956,4.7,2.2
10,-0.44168849239371644,MIROC-ESM-CHEM,MRI-ESM1,rcp60,3.8763026,3.4346141076062833,-86.82299999999998,4.7,2.2
11,0.05265089504909347,MIROC-ESM-CHEM,bcc-ccsm1-1,rcp60,3.8763026,3.928953495049093,11.177000000000021,4.7,2.2
0,-0.003882584825111235,MRI-CGCM3,NorESM1-ME,rcp60,2.3871725,2.3832899151748888,-1.1229999999999336,2.6,1.6
1,0.40890664994835824,MRI-CGCM3,CESM1-BGC,rcp60,2.3871725,2.7960791499483584,129.4770000000001,2.6,1.6
2,0.14616333920625815,MRI-CGCM3,GFDL-ESM2M,rcp60,2.3871725,2.5333358392062584,43.67700000000002,2.6,1.6
3,0.3074217862143473,MRI-CGCM3,MIROC-ESM,rcp60,2.3871725,2.6945942862143473,95.17700000000002,2.6,1.6
4,-0.07057929422668346,MRI-CGCM3,IPSL-CM5A-LR,rcp60,2.3871725,2.3165932057733167,-20.122999999999934,2.6,1.6
5,0.2195738446863032,MRI-CGCM3,CanESM2,rcp60,2.3871725,2.6067463446863033,66.67700000000002,2.6,1.6
6,0.13771629269945693,MRI-CGCM3,GFDL-ESM2G,rcp60,2.3871725,2.524888792699457,41.077,2.6,1.6
7,0.15037532491917083,MRI-CGCM3,HadGEM2-ES,rcp60,2.3871725,2.537547824919171,44.97700000000009,2.6,1.6
8,0.021924704944355528,MRI-CGCM3,MPI-ESM-LR,rcp60,2.3871725,2.4090972049443558,6.377000000000066,2.6,1.6
9,-0.021597435914187255,MRI-CGCM3,inmcm4,rcp60,2.3871725,2.365575064085813,-6.222999999999956,2.6,1.6
10,-0.32122799446815736,MRI-CGCM3,MRI-ESM1,rcp60,2.3871725,2.0659445055318426,-86.82299999999998,2.6,1.6
11,0.03829156003570434,MRI-CGCM3,bcc-ccsm1-1,rcp60,2.3871725,2.4254640600357047,11.177000000000021,2.6,1.6
0,-0.0033972617219723304,NorESM1-M,NorESM1-ME,rcp60,2.5462209,2.5428236382780276,-1.1229999999999336,2.8,1.4
1,0.3577933187048134,NorESM1-M,CESM1-BGC,rcp60,2.5462209,2.904014218704813,129.4770000000001,2.8,1.4
2,0.12789292180547585,NorESM1-M,GFDL-ESM2M,rcp60,2.5462209,2.6741138218054754,43.67700000000002,2.8,1.4
3,0.26899406293755385,NorESM1-M,MIROC-ESM,rcp60,2.5462209,2.815214962937554,95.17700000000002,2.8,1.4
4,-0.06175688244834802,NorESM1-M,IPSL-CM5A-LR,rcp60,2.5462209,2.4844640175516517,-20.122999999999934,2.8,1.4
5,0.19212711410051528,NorESM1-M,CanESM2,rcp60,2.5462209,2.738348014100515,66.67700000000002,2.8,1.4
6,0.1205017561120248,NorESM1-M,GFDL-ESM2G,rcp60,2.5462209,2.6667226561120247,41.077,2.8,1.4
7,0.13157840930427445,NorESM1-M,HadGEM2-ES,rcp60,2.5462209,2.677799309304274,44.97700000000009,2.8,1.4
8,0.019184116826311087,NorESM1-M,MPI-ESM-LR,rcp60,2.5462209,2.5654050168263107,6.377000000000066,2.8,1.4
9,-0.018897756424913845,NorESM1-M,inmcm4,rcp60,2.5462209,2.527323143575086,-6.222999999999956,2.8,1.4
10,-0.28107449515963767,NorESM1-M,MRI-ESM1,rcp60,2.5462209,2.2651464048403622,-86.82299999999998,2.8,1.4
11,0.03350511503124129,NorESM1-M,bcc-ccsm1-1,rcp60,2.5462209,2.579726015031241,11.177000000000021,2.8,1.4
0,-0.003882584825111235,NorESM1-ME,NorESM1-ME,rcp60,2.6558379,2.6519553151748885,-1.1229999999999336,,1.6
1,0.40890664994835824,NorESM1-ME,CESM1-BGC,rcp60,2.6558379,3.064744549948358,129.4770000000001,,1.6
2,0.14616333920625815,NorESM1-ME,GFDL-ESM2M,rcp60,2.6558379,2.802001239206258,43.67700000000002,,1.6
